word,definition,example sentence
"manzana","Fruto comestible, de forma globosa, color rojo, amarillo o verde.","Comí una manzana después del almuerzo."
"libro","Conjunto de hojas de papel, impresas o en blanco, unidas por un lado.","Estoy leyendo un libro sobre la historia de España."
"computadora","Máquina electrónica que recibe y procesa datos para convertirlos en información.","Uso mi computadora para trabajar y jugar."
"perro","Animal doméstico de cuatro patas, considerado el mejor amigo del hombre.","Mi perro ladra cuando alguien se acerca a la puerta."
"casa","Edificio destinado a ser habitado.","Vivimos en una casa con jardín."
"escuela","Lugar donde se enseña y se aprende.","Los niños van a la escuela cada mañana."
"lápiz","Instrumento para escribir o dibujar que contiene una mina de grafito.","Dibujó un retrato usando solo un lápiz."
"silla","Asiento con respaldo, generalmente con cuatro patas.","Me senté en la silla junto a la ventana."
"árbol","Planta de gran tamaño con tronco leñoso que se ramifica a cierta altura del suelo.","El árbol del parque da mucha sombra."
"sol","Estrella luminosa alrededor de la cual gira la Tierra.","El sol brilla intensamente hoy."
"mesa","Mueble con una superficie plana y patas que se usa para comer, trabajar, etc.","Colocamos los platos sobre la mesa."
"gato","Animal doméstico felino, pequeño, ágil y cazador.","El gato duerme la siesta en el sofá."
"ventana","Abertura en una pared que permite la entrada de luz y aire.","Abrí la ventana para que entrara el aire fresco."
"puerta","Abertura que permite el acceso a un lugar cerrado.","Cierra la puerta, por favor."
"camino","Vía o sendero por donde se transita.","Tomamos el camino más corto para llegar al lago."
"pan","Alimento hecho con harina y horneado.","Me gusta desayunar pan con mantequilla."
"agua","Líquido transparente, incoloro, inodoro e insípido.","Bebí un vaso de agua después de correr."
"flor","Parte colorida de una planta que contiene sus órganos reproductores.","Regalé una flor a mi madre."
"nube","Masa visible de vapor de agua suspendida en la atmósfera.","Una nube tapó el sol por unos minutos."
"reloj","Instrumento que sirve para medir el tiempo.","Mi reloj marca las tres en punto."
"tren","Vehículo que se desplaza sobre rieles para transportar personas o mercancías.","El tren llegó puntual a la estación."
"cielo","Espacio en el que se ven el sol, la luna y las estrellas.","El cielo está despejado esta noche."
"estrella","Cuerpo celeste que brilla con luz propia.","Una estrella fugaz cruzó el cielo."
"zapato","Calzado que cubre el pie.","Compré un par de zapatos nuevos."
"sombrero","Prenda que cubre la cabeza para proteger del sol.","Usó un sombrero de ala ancha en la playa."
"pared","Superficie vertical que limita un espacio.","Colgué un cuadro en la pared del salón."
"bosque","Gran extensión de terreno poblada de árboles.","Caminamos por el bosque al amanecer."
"ciudad","Área urbana densamente poblada y con servicios.","Madrid es una ciudad vibrante y llena de historia."
"niño","Persona de corta edad.","El niño juega en el parque con su pelota."
"pelota","Objeto esférico que se usa en juegos y deportes.","Le regalé una pelota de fútbol a mi sobrino."
"avión","Vehículo capaz de volar que transporta pasajeros o carga.","El avión despegó rumbo a París."
"mar","Gran masa de agua salada que cubre parte de la superficie terrestre.","Nos bañamos en el mar durante las vacaciones."
"montaña","Gran elevación natural del terreno.","Escalamos una montaña durante el viaje."
"playa","Orilla del mar formada por arena o piedras.","Tomamos el sol en la playa todo el día."
"luna","Satélite natural de la Tierra visible por la noche.","La luna llena iluminaba el cielo."
"bicicleta","Vehículo de dos ruedas que se mueve con pedales.","Voy al trabajo en bicicleta."
"mano","Extremidad del cuerpo humano al final del brazo.","Le estreché la mano como saludo."
"ojo","Órgano de la vista.","Me entró algo en el ojo y me molestaba."
"nariz","Parte del cuerpo por donde respiramos y olemos.","Tiene la nariz roja por el resfriado."
"boca","Abertura en la cara por la que comemos y hablamos.","Abre la boca para que el médico te revise."
"oreja","Órgano que permite percibir los sonidos.","Me duele la oreja derecha."
"cabello","Conjunto de pelos que crecen en la cabeza.","Se cortó el cabello muy corto."
"fuego","Combustión que emite luz y calor.","Encendimos un fuego para calentarnos."
"hielo","Agua congelada en estado sólido.","El vaso tenía cubitos de hielo."
"cielo","Espacio sobre la Tierra donde se mueven los astros.","El cielo se tornó naranja al atardecer."
"pájaro","Animal con plumas que puede volar.","Un pájaro cantaba en la rama del árbol."
"pez","Animal vertebrado acuático que respira por branquias.","Atrapé un pez enorme en el río."
"río","Corriente natural de agua que fluye hacia el mar.","Nadamos en el río durante el verano."
"camisa","Prenda de vestir que cubre el torso y tiene mangas.","Llevaba puesta una camisa azul claro."
"cuchara","Utensilio que se usa para comer alimentos líquidos.","Comí la sopa con una cuchara de madera."
