word,definition,example sentence
"apple","A round fruit with red, yellow, or green skin and a whitish interior.","She ate an apple for lunch."
"book","A written or printed work consisting of pages glued or sewn together.","I'm reading a book about history."
"computer","An electronic device for storing and processing data.","He uses his computer for work and gaming."
"car","A road vehicle, typically with four wheels, powered by an internal combustion engine.","She drove her car to the store."
"dog","A domesticated carnivorous mammal that typically has a long snout and a barking voice.","The dog barked loudly at the stranger."
"elephant","A large herbivorous mammal with a trunk, native to Africa and Asia.","The elephant used its trunk to drink water."
"forest","A large area covered chiefly with trees and undergrowth.","They went hiking through the forest."
"guitar","A musical instrument with six strings played by strumming or plucking.","He played a song on his guitar."
"house","A building for human habitation.","They moved into a new house last week."
"island","A piece of land surrounded by water.","We vacationed on a tropical island."
"jacket","An outer garment extending either to the waist or the hips.","She wore a warm jacket in the cold weather."
"kangaroo","A large plant-eating marsupial with powerful hind legs, found in Australia.","The kangaroo hopped across the field."
"lamp","A device for giving light.","He turned on the lamp beside his bed."
"mountain","A large natural elevation of the earth's surface.","They climbed the mountain during the weekend."
"notebook","A small book with blank or ruled pages for writing notes.","I always carry a notebook to jot down ideas."
"ocean","A very large expanse of sea.","The ocean waves were crashing against the shore."
"pencil","An instrument for writing or drawing, typically with a graphite or colored core.","She sketched a drawing with a pencil."
"quilt","A warm bed covering made of padding enclosed between layers of fabric.","She covered the baby with a soft quilt."
"robot","A machine capable of carrying out a complex series of actions automatically.","The robot cleaned the entire floor."
"school","An institution for educating children.","The kids walked to school in the morning."
"tree","A woody perennial plant, typically with a single stem or trunk.","The tree was full of ripe mangoes."
"umbrella","A device used for protection against rain or sunlight.","He opened his umbrella when it started to rain."
"violin","A string instrument played with a bow.","She performed a solo on her violin."
"window","An opening in a wall or roof fitted with glass.","He looked out the window at the sunset."
"xylophone","A musical instrument with wooden bars struck by mallets.","The child played the xylophone at the recital."
"yacht","A medium-sized sailing boat equipped for cruising or racing.","They sailed their yacht along the coast."
"zebra","An African wild horse with black-and-white stripes.","The zebra grazed peacefully in the savanna."
"bicycle","A vehicle composed of two wheels held in a frame one behind the other.","He rides his bicycle to school every day."
"candle","A cylinder or block of wax with a central wick that is burned to provide light.","She lit a candle during the power outage."
"drum","A percussion instrument sounded by being struck with sticks or the hands.","The drummer hit the drum with great rhythm."
"eagle","A large bird of prey with a massive hooked bill and long broad wings.","The eagle soared high above the mountains."
"fountain","A structure that sends water into the air for decoration or drinking.","The children played near the fountain in the park."
"glove","A covering for the hand with separate sections for each finger.","He wore a glove on his injured hand."
"hat","A shaped covering for the head worn for warmth, as a fashion item, or as part of a uniform.","She wore a hat to protect herself from the sun."
"ice","Frozen water, a brittle transparent crystalline solid.","The lake was covered in a thick layer of ice."
"jungle","An area of land overgrown with dense forest and tangled vegetation.","The explorer trekked through the jungle."
"key","A small metal instrument used to open locks.","He couldn't find the key to the front door."
"ladder","A structure consisting of a series of bars or steps between two upright lengths.","He climbed the ladder to reach the attic."
"mirror","A reflective surface, typically of glass coated with a metal amalgam.","She looked at herself in the mirror."
"nest","A structure built by birds to lay eggs and raise their young.","The bird built a nest in the tree."
"orange","A round juicy citrus fruit with a tough bright reddish-yellow rind.","He peeled an orange for a snack."
"piano","A large keyboard musical instrument with a wooden case enclosing a soundboard and metal strings.","She practiced her piano lessons daily."
"quartz","A hard white or colorless mineral found widely in igneous, metamorphic, and sedimentary rocks.","The watch had a quartz movement."
"river","A large natural stream of water flowing in a channel to the sea, a lake, or another river.","The river flowed swiftly after the rain."
"star","A fixed luminous point in the night sky.","They watched a shooting star at night."
"telephone","A system for transmitting voices over a distance using wire or radio.","She answered the telephone after two rings."
"vase","A decorative container, typically made of glass or ceramic.","The vase held a bouquet of fresh flowers."
"whale","A very large marine mammal with a streamlined hairless body, a horizontal tail fin, and a blowhole.","The whale breached the surface of the water."
"yogurt","A semi-solid food prepared from milk fermented by added bacteria.","He had yogurt and fruit for breakfast."
"zipper","A fastening device consisting of two flexible strips of metal or plastic.","She pulled the zipper on her jacket closed."
