Restaurant Name,Ratings,Cuisine,Opening Hours,Location
Sakura Blossom,4.5,Japanese,11:00 AM - 10:00 PM,New York
Ramen Zen,4.2,Japanese,12:00 PM - 11:00 PM,San Diego
Tokyo Dreams,4.7,Japanese,5:00 PM - 12:00 AM,Los Angeles
Le Petit Jardin,4.8,French,6:00 PM - 11:00 PM,San Francisco
Bistro Lumière,4.3,French,5:30 PM - 10:30 PM,New York
Café de la Seine,4.6,French,11:00 AM - 10:00 PM,San Diego
Nonna's Kitchen,4.4,Italian,4:00 PM - 11:00 PM,Los Angeles
Trattoria Roma,4.1,Italian,12:00 PM - 10:00 PM,San Francisco
Villa Toscana,4.5,Italian,5:00 PM - 10:30 PM,New York
Spice Route,4.3,Indian,11:30 AM - 10:00 PM,San Diego
Maharaja Palace,4.6,Indian,12:00 PM - 11:00 PM,Los Angeles
Curry Garden,4.2,Indian,5:00 PM - 10:00 PM,San Francisco
Dragon Phoenix,4.4,Chinese,11:00 AM - 10:30 PM,New York
Golden Lotus,4.7,Chinese,12:00 PM - 11:00 PM,San Diego
Beijing House,4.3,Chinese,4:30 PM - 10:00 PM,Los Angeles
Sushi Koi,4.8,Japanese,6:00 PM - 12:00 AM,New York
Wasabi Garden,4.5,Japanese,5:00 PM - 11:00 PM,Los Angeles
Edo Kitchen,4.3,Japanese,12:00 PM - 9:30 PM,San Francisco
Le Château,4.9,French,7:00 PM - 11:00 PM,New York
Provence Café,4.4,French,10:00 AM - 10:00 PM,Los Angeles
Bordeaux Bistro,4.6,French,6:00 PM - 10:30 PM,San Francisco
Bella Vista,4.2,Italian,11:30 AM - 10:00 PM,New York
Amore Mio,4.7,Italian,5:00 PM - 11:00 PM,San Diego
Dolce Vita,4.5,Italian,4:00 PM - 10:30 PM,Los Angeles
Palazzo Italiano,4.3,Italian,6:00 PM - 10:00 PM,San Francisco
Bombay Express,4.1,Indian,11:00 AM - 10:30 PM,New York
Taj Mahal,4.8,Indian,12:00 PM - 11:00 PM,San Francisco
